SSDSE-A-2023,Prefecture,Municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D1202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J250302
R01226,ñkäCìπ,çªêÏés,16486,7607,8879,16450,7588,8862,1388,682,706,8138,3985,4153,6404,2640,3764,3548,1346,2202,29,76,295,535,671,7599,7572,15713,4268,2705,2249,1359,1311,50,24,7868,4997,825,7,0,2,95,39,3,2,28,213,12,37,23,136,72,18,71,6,61,7236,106,0,24,1097,745,113,5,498,1767,88,190,80,563,341,60,719,241,599,169,24,166,83.6,4.7,13067649,2094729,12655660,3271987,2425019,792927,0,1,94,5,80,574,2,34,360,0,0,0,0,1,183,7444,3985,3459,391,258,133,6676,2369,4307,377,1746,5289,1,1,16561,446,166,111,3,1,7,8,106,15,65,3
R01227,ñkäCìπ,âÃéuì‡és,2989,1399,1590,2979,1393,1586,142,80,62,1252,659,593,1592,658,934,888,318,570,10,6,67,80,108,1424,1417,2674,727,608,485,282,376,8,1,5595,1402,129,1,0,2,15,4,0,1,5,34,3,1,0,11,12,3,15,3,19,801,0,0,41,103,47,0,3,52,128,8,1,0,54,29,10,240,9,76,1,0,74,96.3,13.9,4148418,201076,3955059,1140917,514594,254105,1264,0,0,0,0,0,0,0,0,1,24,47,46,0,0,1150,642,508,70,55,15,1624,620,1004,21,292,834,0,1,3062,152,31,6,0,1,4,1,2,1,5,1
R01228,ñkäCìπ,ê[êÏés,20039,9362,10677,19927,9311,10616,1634,853,781,9802,4981,4821,8544,3482,5062,4873,1831,3042,110,84,348,599,717,9198,9161,18768,5028,3438,2817,1814,1574,49,20,52942,21492,1030,31,0,1,84,45,4,4,26,253,22,60,29,165,110,20,78,16,82,7890,264,0,4,621,366,42,23,398,1689,257,134,213,773,413,238,1625,165,665,542,152,194,88.2,15.1,17057947,2145687,16996289,4645822,1916050,1711176,33535,2,90,6,81,711,2,34,364,0,0,0,0,2,326,9324,4982,4342,266,176,90,8161,3001,5160,1539,1154,6388,7,1,20154,2273,207,138,4,3,14,13,61,18,41,8
R01229,ñkäCìπ,ïxó«ñÏés,21131,9947,11184,20825,9818,11007,2211,1126,1085,11512,5645,5867,7255,3073,4182,3933,1515,2418,224,125,278,687,950,9538,9502,20099,5109,3630,2388,1480,1306,88,29,60071,19751,1147,36,0,1,76,43,2,2,24,305,23,85,28,215,104,37,72,13,81,9602,550,0,6,812,485,40,6,623,2021,183,204,87,1325,362,148,1619,363,768,546,15,202,94.1,7.2,12594597,2634850,12432506,4219615,1326568,1162865,0,4,289,9,140,932,5,64,490,0,0,0,0,2,604,10779,5715,5064,311,186,125,6904,2395,4509,2188,1201,7250,2,1,20796,1970,256,150,3,2,11,13,46,18,51,1
R01230,ñkäCìπ,ìoï és,46391,22146,24245,46118,22023,24095,4775,2480,2295,24170,12215,11955,17287,7373,9914,9013,3563,5450,167,243,624,1585,1839,20928,20885,44369,12520,7123,6319,3906,3433,163,75,21221,3853,1542,6,1,1,220,78,0,5,39,366,25,101,38,219,175,45,115,11,97,13712,31,5,1,1473,1012,0,22,683,2925,145,300,100,2305,676,367,2393,150,1124,27,9,266,97.5,12.6,24053214,5167264,23547604,8306038,3554581,1949002,60055,4,445,8,150,1892,5,92,1032,0,0,0,0,1,402,20102,11247,8855,892,554,338,18341,6656,11685,256,4946,14750,3,2,46919,2341,298,168,7,6,18,21,52,25,49,5
R01231,ñkäCìπ,åbíÎés,70331,34088,36243,69840,33832,36008,8701,4476,4225,41413,20687,20726,19673,8560,11113,9795,3882,5913,438,424,669,3159,2862,30276,30172,67695,18394,9980,7456,4260,3359,272,143,29465,9793,1852,21,0,2,169,112,1,7,79,430,32,85,60,261,216,82,179,13,103,22023,216,0,9,1418,4651,35,95,1653,4363,258,290,353,1916,1295,1259,3162,228,822,165,92,337,93.2,5,31083896,8249579,30211562,9868019,3645575,3624878,4967,6,959,8,230,3726,5,144,1964,0,0,0,0,3,1970,32273,18120,14153,1562,948,614,23761,8280,15481,1277,6715,23833,1,3,70092,666,351,213,12,5,35,37,119,42,129,10
R01233,ñkäCìπ,à…íBés,32826,15176,17650,32644,15144,17500,3355,1714,1641,16832,8168,8664,12601,5268,7333,6740,2581,4159,180,162,507,1032,1201,14844,14746,30680,8567,5327,4369,2731,2569,97,53,44421,13075,1372,21,1,2,116,55,1,6,19,332,28,126,40,200,143,32,142,13,95,11793,242,9,9,971,805,68,19,443,2397,253,284,171,1159,733,130,2970,321,809,318,64,227,88.7,5.6,18122184,3989173,17909580,6567323,1527924,2241800,0,2,228,8,136,1382,3,73,825,1,14,18,12,2,586,14832,7709,7123,545,338,207,12352,4572,7780,1401,2483,10496,0,1,33209,4424,280,148,4,2,25,19,68,21,70,8
R01234,ñkäCìπ,ñkçLìáés,58171,27763,30408,57695,27517,30178,6395,3267,3128,32140,15829,16311,19380,8514,10866,9376,3876,5500,369,253,621,2235,2091,24640,24548,55757,16375,6964,7560,4608,3198,148,102,11905,7476,1907,12,0,2,215,118,2,8,147,540,15,87,64,145,136,54,212,12,138,24321,119,0,6,1537,3046,45,55,4076,5891,191,441,268,1042,1745,707,3804,163,1185,89,50,307,95.5,4.7,26305046,7981870,26135467,9593840,5394904,2714826,219742,6,607,9,198,2793,8,158,1824,0,0,0,0,3,2716,25226,13766,11460,1148,718,430,21015,7712,13303,536,4296,19696,2,5,58150,995,397,116,12,5,36,32,58,43,88,12
R01235,ñkäCìπ,êŒéÎés,56869,27324,29545,56418,27146,29272,6821,3502,3319,30645,15273,15372,19402,8549,10853,8958,3614,5344,451,279,615,2053,1809,23102,23038,55320,15376,5868,7379,4217,3010,165,100,72242,19849,2111,13,4,2,308,207,1,14,175,474,28,53,54,194,164,42,199,24,155,26035,148,30,12,2043,4549,11,192,4880,5955,163,443,367,1027,1408,541,2848,284,1134,283,58,358,94.4,7.8,27909558,8324700,27583607,10258465,2756508,3966746,12771,0,0,9,209,2871,6,142,1644,1,17,24,9,2,1770,23568,13000,10568,996,632,364,18287,6486,11801,978,5577,16052,3,4,58301,2979,294,163,9,4,26,23,59,33,78,14
R01236,ñkäCìπ,ñkìlés,44302,20542,23760,44002,20505,23497,5444,2808,2636,25434,12184,13250,13332,5541,7791,6564,2395,4169,300,247,525,1343,1556,18337,18261,42666,11338,5276,4726,2534,2499,161,113,39744,9580,1706,14,0,4,227,107,1,3,72,487,19,54,45,166,165,50,146,19,127,16712,154,0,64,1793,2973,3,4,1724,3962,213,253,207,1049,637,131,2358,252,935,449,137,189,90.9,4.5,21150973,5192887,20674624,8944279,2672947,1742057,20718,4,369,11,190,2205,5,103,1326,0,0,0,0,3,665,20738,10936,9802,1183,732,451,14869,5104,9765,1637,4707,14317,1,2,45736,7411,370,131,8,0,27,16,25,18,43,9
R01303,ñkäCìπ,ìñï í¨,15916,7703,8213,15739,7612,8127,1178,589,589,8983,4509,4474,5553,2482,3071,2834,1157,1677,119,47,203,672,668,7281,7268,15488,4138,2601,2113,1230,898,40,23,42286,15808,597,49,0,0,62,27,1,2,13,126,7,56,17,68,61,16,45,7,40,5617,305,0,0,385,1157,16,2,162,933,51,112,48,438,361,524,768,142,213,414,64,146,94.7,10.5,11845126,2080596,11600273,2346211,1550431,860419,0,0,0,2,45,492,2,34,320,0,0,0,0,1,228,7619,4241,3378,305,192,113,5885,2169,3716,1082,1300,4932,1,0,15676,1496,106,55,0,0,13,6,23,117,62,2
R01304,ñkäCìπ,êVé¬í√ë∫,3044,1484,1560,3035,1477,1558,300,160,140,1591,852,739,1142,467,675,666,238,428,8,14,66,60,88,1051,1038,2641,566,286,320,193,139,13,2,7804,7596,96,24,0,0,7,5,0,0,3,16,2,0,0,11,4,1,13,2,8,889,167,0,0,144,24,0,0,19,115,4,0,0,47,25,6,221,91,26,221,1,48,87.4,3.2,3514006,318591,3433502,603965,518935,405693,4730,0,0,1,15,120,1,12,73,0,0,0,0,0,0,1483,803,680,32,18,14,1045,415,630,612,92,660,0,0,3000,81,13,5,0,0,3,1,2,3,2,0
R01331,ñkäCìπ,èºëOí¨,6260,2805,3455,6218,2800,3418,377,187,190,2611,1272,1339,3266,1343,1923,1804,675,1129,42,21,132,146,284,3196,3186,5995,1590,1351,1083,691,848,10,8,29325,2365,350,2,1,0,47,24,0,0,4,116,5,10,3,37,44,5,19,10,23,2065,25,17,0,218,593,0,0,60,447,29,13,4,135,88,20,255,58,103,14,120,85,88.4,7.4,5842102,553287,5683014,1170519,483342,466188,0,0,0,3,27,146,1,13,87,0,0,0,0,1,64,2653,1421,1232,131,94,37,3063,1088,1975,268,731,1647,1,1,6815,5159,109,26,0,1,3,4,8,3,10,2
R01332,ñkäCìπ,ïüìáí¨,3794,1755,2039,3758,1753,2005,228,103,125,1711,871,840,1851,778,1073,973,364,609,36,13,81,63,135,1861,1858,3717,984,705,655,385,427,13,4,18725,1655,252,2,3,0,28,27,1,2,5,66,4,12,3,26,24,6,12,6,25,1546,10,19,0,181,408,18,3,17,267,13,15,4,73,54,13,132,24,295,14,22,62,88.1,11,3956579,513535,3866720,682311,439181,314555,0,1,14,2,18,90,1,14,46,0,0,0,0,1,30,1639,891,748,111,83,28,1745,640,1105,241,590,785,0,0,3879,2909,61,21,0,0,3,2,2,2,2,1
R01333,ñkäCìπ,ímì‡í¨,4167,2060,2107,4104,2052,2052,357,176,181,2160,1156,1004,1649,727,922,854,320,534,63,14,63,95,157,1868,1859,3962,984,686,579,338,316,11,6,19676,3188,181,4,3,0,30,19,1,1,2,34,2,5,2,30,16,4,7,6,15,1471,39,17,0,304,402,81,7,33,168,13,14,2,116,31,10,89,44,101,130,38,50,86.5,13,4942217,739920,4849489,730779,372018,742093,30282,1,12,3,25,151,1,16,82,0,0,0,0,1,175,2110,1183,927,75,53,22,1461,560,901,560,559,964,2,0,4201,1145,28,18,0,0,4,2,2,2,1,1
R01334,ñkäCìπ,ñÿå√ì‡í¨,3832,1750,2082,3807,1745,2062,232,113,119,1678,831,847,1908,793,1115,1069,408,661,24,9,82,121,138,1871,1865,3732,967,734,637,381,465,10,5,22186,2390,247,3,0,0,36,15,0,1,7,61,4,9,5,32,29,2,14,6,23,1268,23,0,0,235,122,0,2,79,356,19,15,8,126,50,7,137,25,64,33,34,49,95.7,9.4,4248120,495811,4188080,772454,447913,565113,0,0,0,1,15,109,1,10,55,0,0,0,0,0,0,1618,872,746,75,61,14,1745,610,1135,167,392,1044,1,0,3965,2151,59,25,1,1,3,1,7,1,5,2
R01337,ñkäCìπ,éµî—í¨,27686,12679,15007,27574,12661,14913,3215,1637,1578,14743,6996,7747,9719,4040,5679,4906,1806,3100,112,138,394,1140,900,11568,11518,26351,7243,3337,3403,1924,1731,67,52,21675,8022,876,11,0,1,124,64,1,4,39,176,9,20,19,107,81,20,109,10,81,8157,97,0,12,815,1140,26,10,761,1256,33,143,82,992,414,80,1660,112,524,289,40,127,93.8,11.4,11988532,2974035,11856589,3813855,1385025,1924832,0,2,244,4,89,1274,2,48,620,2,38,74,57,1,334,11853,6228,5625,1202,755,447,10894,3800,7094,1123,2296,8266,3,0,28054,9775,141,73,3,2,17,10,36,13,25,6
R01343,ñkäCìπ,é≠ïîí¨,3760,1779,1981,3646,1756,1890,342,176,166,1901,919,982,1517,684,833,725,310,415,114,14,53,108,124,1619,1613,3595,887,537,528,342,248,6,1,11063,2134,152,3,0,0,23,20,1,0,3,38,1,0,0,19,18,1,12,3,10,1073,20,0,0,134,312,4,0,28,179,6,0,0,89,82,1,155,26,37,1,19,55,97.6,3.2,2957567,421004,2937290,524137,206842,333920,0,1,52,1,17,150,1,17,88,0,0,0,0,0,0,1824,964,860,68,47,21,1525,591,934,605,466,751,1,0,3819,2863,36,12,0,0,2,1,2,1,3,0
R01345,ñkäCìπ,êXí¨,14338,6658,7680,14000,6590,7410,1364,682,682,7403,3659,3744,5532,2289,3243,2727,1013,1714,313,57,251,311,495,6330,6310,13849,3293,2278,1790,974,1115,42,29,36879,9298,859,18,2,2,97,104,3,1,31,210,12,30,18,104,85,14,53,14,61,6137,154,7,9,568,1897,24,1,386,1067,131,47,68,466,209,42,624,106,331,137,49,175,91.8,14.3,12587348,1706639,12488110,2551308,853664,1891285,0,2,65,8,74,593,2,36,338,0,0,0,0,1,113,7134,3817,3317,411,280,131,5357,1832,3525,1572,2120,3421,2,1,14937,7235,172,80,0,2,7,6,17,7,11,3
R01346,ñkäCìπ,î™â_í¨,15826,7894,7932,15526,7746,7780,1591,831,760,8504,4600,3904,5534,2311,3223,2758,1006,1752,225,85,207,541,684,7519,7380,15107,3680,3084,1856,1030,1215,77,21,95608,17253,881,23,4,0,109,60,3,2,26,224,13,40,21,131,75,9,45,16,80,5923,362,30,0,770,827,53,3,321,1109,133,98,84,545,199,49,782,162,396,162,85,152,89.8,10.4,17148262,1965752,16864749,2779527,1483273,1977124,10822,1,38,7,82,653,4,55,341,0,0,0,0,1,236,8230,4784,3446,298,169,129,5056,1710,3346,1564,1749,4576,1,1,15578,3856,191,96,1,2,5,7,25,9,28,5
R01347,ñkäCìπ,í∑ñúïîí¨,5109,2448,2661,4932,2394,2538,415,200,215,2507,1337,1170,2088,854,1234,1193,419,774,177,23,93,146,210,2717,2543,4778,1228,1176,725,435,535,7,9,31076,6113,310,2,1,0,32,24,1,0,9,81,6,5,5,44,26,6,20,6,42,2161,35,18,0,190,476,4,0,91,361,24,8,13,159,86,63,140,241,252,34,6,78,87.5,12.4,5436015,661487,5288222,884392,633629,369503,0,0,0,2,18,190,1,14,93,0,0,0,0,1,69,2662,1534,1128,71,49,22,1848,601,1247,512,697,1436,0,1,5135,2117,69,31,0,1,2,3,4,4,5,1
R01361,ñkäCìπ,ç]ç∑í¨,7428,3569,3859,7406,3555,3851,589,295,294,3950,2097,1853,2846,1145,1701,1589,572,1017,19,25,104,382,444,3542,3502,6746,1732,1568,932,578,653,24,10,10948,2714,482,6,0,0,43,23,5,3,13,127,11,16,14,71,45,10,43,9,43,2994,40,0,0,291,141,39,5,139,710,151,31,65,272,132,35,582,118,243,76,27,80,93.4,16.5,5817855,828627,5648055,1741706,695634,526082,0,0,0,3,48,231,2,35,147,0,0,0,0,1,231,3571,2063,1508,148,108,40,2848,953,1895,297,613,2584,0,1,7376,4259,116,57,1,2,4,4,15,4,16,4
R01362,ñkäCìπ,è„Émçëí¨,4306,1965,2341,4255,1944,2311,388,197,191,2047,986,1061,1868,779,1089,992,360,632,50,16,96,85,155,2053,2050,4231,1081,782,617,373,479,11,4,54772,4385,218,8,2,1,29,22,0,1,4,46,3,4,3,28,26,2,11,8,20,1244,54,8,1,360,185,0,1,26,209,14,6,5,65,68,2,127,27,86,81,60,71,84,6.1,5802168,433616,5688505,1200652,473163,385697,0,0,0,3,33,170,1,16,89,0,0,0,0,1,43,1982,1056,926,100,65,35,1825,641,1184,335,554,1081,0,0,4629,2184,40,22,0,0,3,2,2,3,0,2
R01363,ñkäCìπ,å˙ëÚïîí¨,3592,1717,1875,3562,1711,1851,339,181,158,1713,882,831,1540,654,886,832,310,522,30,16,66,87,143,1654,1646,3470,947,560,551,329,277,10,5,46058,9182,201,12,0,1,22,17,0,0,8,55,4,8,4,18,17,1,14,6,14,1334,117,0,3,209,156,0,0,105,214,16,14,14,70,89,11,173,72,71,209,52,58,78.1,5.6,4501852,415813,4418004,849121,209508,372676,5,0,0,3,41,164,1,14,71,0,0,0,0,0,0,1889,1039,850,73,51,22,1290,446,844,611,321,957,0,1,3703,903,49,14,0,1,1,1,4,1,3,1
R01364,ñkäCìπ,â≥ïîí¨,3403,1538,1865,3386,1537,1849,284,142,142,1567,746,821,1552,650,902,857,332,525,17,14,66,70,123,1597,1593,3336,902,561,544,358,381,7,2,16259,2558,170,6,1,0,25,10,0,1,2,44,3,1,2,17,21,3,14,4,16,942,43,1,0,163,216,0,1,9,192,11,8,5,81,41,3,106,18,44,52,65,54,69.7,3.8,4449090,279657,4323148,743022,544780,413667,0,0,0,3,27,127,1,15,68,0,0,0,0,0,0,1559,833,726,48,37,11,1507,524,983,161,457,940,1,0,3530,1118,38,11,0,1,1,1,4,2,3,1
R01367,ñkäCìπ,âúêKí¨,2410,1280,1130,2402,1276,1126,163,86,77,1250,774,476,997,420,577,543,207,336,8,10,55,164,193,1215,1203,2202,559,566,332,222,263,10,3,14299,2075,206,1,1,0,17,17,1,0,10,55,2,7,1,48,17,0,6,4,19,935,2,7,0,193,82,9,0,59,180,10,18,4,150,30,0,96,22,73,17,12,72,88,11,3885013,273394,3860700,354223,413204,584487,6382,2,31,2,22,78,1,14,33,0,0,0,0,1,82,1268,850,418,34,27,7,945,317,628,135,161,970,0,0,2518,450,48,25,0,1,3,0,3,1,2,0
R01370,ñkäCìπ,ç°ã‡í¨,5072,2446,2626,5068,2444,2624,468,236,232,2515,1334,1181,2089,876,1213,1176,458,718,4,22,85,156,174,2192,2179,4719,1187,771,657,414,400,18,6,56825,12221,224,10,0,1,30,10,1,0,6,61,3,8,4,27,23,4,10,4,22,1456,87,0,3,251,64,3,0,102,287,11,16,53,121,46,30,259,41,82,239,19,68,85.1,6.1,6141044,524459,6119471,1220898,719478,671950,0,0,0,2,25,212,1,15,99,0,0,0,0,0,0,2517,1416,1101,64,47,17,1892,686,1206,706,341,1464,0,0,4977,685,59,22,0,1,4,2,6,2,9,1
R01371,ñkäCìπ,ÇπÇΩÇ»í¨,7398,3466,3932,7368,3462,3906,587,298,289,3323,1706,1617,3482,1459,2023,1985,764,1221,30,19,137,198,266,3534,3517,7023,1893,1361,1128,727,772,17,6,63868,13980,455,5,1,4,64,25,2,2,13,127,4,16,5,63,37,4,26,12,45,2411,65,9,24,471,149,9,3,122,500,41,27,11,215,98,8,395,94,170,270,81,129,87.5,8.8,9238400,658098,9011321,1921601,796457,751168,0,0,0,4,39,247,3,42,141,0,0,0,0,1,175,3676,2060,1616,127,86,41,2982,1009,1973,927,545,2202,0,1,7369,2856,113,41,0,2,5,4,9,5,10,3
R01391,ñkäCìπ,ìáñqë∫,1356,687,669,1354,686,668,112,58,54,680,396,284,564,233,331,326,116,210,2,9,23,38,63,617,612,1246,310,253,175,100,146,4,0,43718,6951,73,0,1,0,7,4,0,0,2,17,1,0,1,12,4,1,4,8,11,329,0,10,0,35,27,0,0,14,50,3,0,7,31,5,1,84,30,32,28,13,48,90,5.8,2501749,105992,2418095,619250,157203,170404,28544,0,0,1,11,45,1,12,16,0,0,0,0,0,0,659,410,249,16,12,4,569,207,362,141,84,431,0,0,1418,712,15,2,0,0,1,0,1,1,0,1
R01392,ñkäCìπ,éıìsí¨,2838,1397,1441,2784,1394,1390,258,139,119,1411,749,662,1167,508,659,641,240,401,54,14,47,98,123,1340,1333,2506,637,622,348,217,297,7,5,9525,1971,183,0,8,0,16,14,2,0,6,51,3,2,1,17,15,1,12,7,28,1141,0,67,0,149,201,6,0,59,216,18,3,1,61,39,1,224,24,72,7,36,53,85.3,13.4,5686797,244198,5636818,624547,603303,583015,13305,0,0,2,24,116,1,14,62,0,0,0,0,1,74,1376,754,622,38,26,12,1148,468,680,143,315,908,0,0,2905,632,42,14,0,0,3,2,5,2,2,1
R01393,ñkäCìπ,çïèºì‡í¨,2791,1353,1438,2775,1348,1427,304,163,141,1385,758,627,1102,432,670,686,238,448,16,9,42,144,141,1298,1287,2376,582,645,304,202,268,11,3,34565,6575,153,7,0,0,14,7,0,0,4,35,1,10,8,20,7,2,19,3,16,1079,39,0,0,103,71,0,0,32,122,7,19,23,80,20,1,464,15,83,38,13,53,83.9,9.8,4508233,251156,4291159,767944,528956,332872,5,0,0,2,29,133,2,27,75,0,0,0,0,0,0,1315,762,553,42,27,15,1123,399,724,165,207,897,0,0,2737,327,34,11,0,0,5,1,6,1,2,1
R01394,ñkäCìπ,óñâzí¨,4568,2197,2371,4530,2175,2355,453,229,224,2285,1180,1105,1828,786,1042,1003,383,620,38,31,95,158,172,2081,2074,4327,1192,748,652,411,334,10,11,44978,9478,238,12,0,1,34,10,0,0,6,71,2,8,5,33,8,6,10,5,27,1486,127,0,2,280,50,0,0,38,317,13,23,19,138,49,12,270,48,100,237,27,102,85,11.7,7295112,468067,6947360,927322,1416323,473239,5135,1,23,2,29,198,1,12,88,0,0,0,0,1,34,2386,1342,1044,57,27,30,1465,496,969,567,335,1330,0,0,4546,112,64,20,0,1,4,2,3,2,4,1
R01395,ñkäCìπ,ÉjÉZÉRí¨,5074,2624,2450,4799,2445,2354,619,339,280,2797,1484,1313,1307,595,712,637,245,392,246,42,56,279,286,2515,2511,4986,1176,1146,466,266,281,25,4,19713,5280,290,7,0,2,20,11,0,2,10,55,3,9,6,98,26,4,15,3,19,1892,44,0,15,147,81,0,4,125,207,19,26,8,844,146,12,118,22,74,127,5,66,86.5,10.9,5051644,963849,4866113,662604,565427,626537,1529,1,33,2,31,293,1,13,103,0,0,0,0,1,52,2623,1524,1099,132,78,54,1272,434,838,433,383,1772,0,1,4967,950,50,38,0,0,2,2,2,3,4,1
R01396,ñkäCìπ,ê^éÎë∫,2045,1035,1010,2008,1006,1002,242,131,111,1098,602,496,705,302,403,389,148,241,37,13,29,68,107,903,900,1937,462,347,230,142,130,7,3,11425,3696,90,7,0,0,5,3,0,0,4,21,1,1,1,18,5,0,10,2,12,520,51,0,0,31,19,0,0,34,121,5,1,26,35,14,0,89,47,47,124,7,50,95.4,11.2,2737978,225023,2647193,442784,332857,420311,0,0,0,2,20,93,1,12,45,0,0,0,0,1,85,1146,656,490,34,17,17,622,231,391,446,87,603,1,0,2043,407,17,16,0,0,3,1,2,1,3,1
R01397,ñkäCìπ,óØéıìsë∫,1911,971,940,1798,923,875,234,115,119,1184,638,546,493,218,275,270,106,164,113,14,18,103,96,959,956,1835,398,496,161,98,87,2,2,11984,4731,101,2,0,0,3,5,0,0,3,30,1,7,0,24,4,3,4,3,12,1150,25,0,0,23,40,0,0,49,166,6,11,0,719,8,9,47,19,28,87,4,57,84.7,8.7,2893510,406134,2872757,424914,584439,336762,0,0,0,1,13,96,1,12,49,0,0,0,0,1,54,1241,699,542,16,9,7,418,147,271,354,93,794,1,0,1884,277,26,13,0,0,2,1,2,1,0,1
R01398,ñkäCìπ,äÏñŒï í¨,2156,1112,1044,2093,1093,1000,177,92,85,1044,560,484,805,366,439,467,199,268,63,11,40,86,82,1130,1118,2008,474,580,271,168,160,7,2,18941,3538,129,3,0,0,8,6,1,0,8,38,2,1,0,24,9,1,13,3,12,883,13,0,0,120,160,3,0,85,165,8,1,0,87,36,1,151,21,32,76,4,56,90.5,9.8,3036759,315702,3004416,539724,429091,187424,92,0,0,2,16,69,1,11,42,0,0,0,0,0,0,1081,595,486,19,13,6,734,309,425,245,135,700,0,0,2038,176,32,19,0,0,2,2,2,2,1,1
R01399,ñkäCìπ,ãûã…í¨,2941,1420,1521,2887,1410,1477,297,158,139,1446,733,713,1114,483,631,639,251,388,53,20,54,78,112,1269,1265,2723,710,440,352,208,169,10,3,23149,3761,174,11,1,0,18,12,0,0,6,35,3,12,1,29,16,3,9,3,15,1405,114,8,0,178,199,0,0,131,173,9,42,4,126,40,3,220,52,106,76,8,62,77.8,7.1,4031940,1917491,3929821,637140,805598,340800,0,0,0,1,19,130,1,11,88,0,0,0,0,0,0,1526,824,702,39,32,7,914,327,587,278,307,841,1,0,2922,66,29,21,0,0,2,2,3,3,2,1
R01400,ñkäCìπ,ã‰ímà¿í¨,15129,7787,7342,14257,7301,6956,1941,999,942,9096,4995,4101,3731,1611,2120,1838,710,1128,589,126,121,1008,1129,7631,7602,14660,3549,3667,1359,805,813,98,35,26134,7105,910,14,0,0,63,24,4,6,22,206,13,99,34,194,76,21,57,6,71,6936,139,0,0,535,269,106,15,398,1512,129,326,118,1042,488,96,842,319,602,161,21,138,86.1,7.2,9991713,3121464,9657517,1893077,1678581,1041502,0,2,168,5,85,828,1,31,373,0,0,0,0,2,445,8009,4736,3273,272,163,109,3747,1267,2480,673,918,6246,1,0,15278,719,163,132,2,1,11,7,41,9,28,2
R01401,ñkäCìπ,ã§òaí¨,5772,3047,2725,5763,3044,2719,650,340,310,3273,1884,1389,1826,800,1026,984,387,597,9,43,84,224,256,2728,2723,5697,1382,1128,654,386,357,32,7,30492,10186,225,11,0,2,34,11,1,0,12,51,2,9,4,26,13,3,12,7,27,1681,81,0,8,336,319,4,0,137,314,5,28,15,99,39,10,130,76,80,293,54,85,87.9,8.6,5530852,735957,5428425,1066166,861017,652372,0,2,36,3,41,282,1,15,114,0,0,0,0,0,0,3216,2031,1185,74,46,28,1691,544,1147,788,663,1740,0,0,5768,1854,44,9,0,0,4,3,2,5,1,1
R01402,ñkäCìπ,ä‚ì‡í¨,11648,5500,6148,11599,5477,6122,1106,574,532,6157,3149,3008,4364,1757,2607,2283,830,1453,47,57,216,372,518,5750,5736,11314,3014,2366,1479,883,1239,43,22,7060,1384,802,2,0,0,95,47,2,1,16,193,19,67,14,157,73,15,48,7,46,4870,3,0,0,863,657,30,2,155,887,132,107,52,615,200,50,713,45,359,24,5,122,95.3,15.4,6913057,1213634,6871228,1882302,1197534,427044,0,2,116,2,36,474,2,33,249,0,0,0,0,1,264,5633,3142,2491,243,148,95,4358,1458,2900,180,1755,3672,0,0,11724,6701,160,115,1,1,10,7,17,7,27,3
R01403,ñkäCìπ,îëë∫,1569,784,785,1566,784,782,147,80,67,797,461,336,625,243,382,383,133,250,3,9,41,59,65,813,808,1473,339,431,172,94,184,3,2,8227,544,104,0,1,0,28,1,4,0,1,24,1,0,5,12,5,0,5,5,12,1952,0,4,0,944,35,558,0,7,82,2,0,61,63,8,0,95,32,61,1,0,56,39.4,1,4236233,2216513,4164256,605941,696613,264713,0,0,0,1,11,54,1,15,42,0,0,0,0,0,0,790,497,293,19,13,6,612,194,418,68,118,600,1,0,1576,5,20,1,0,0,3,1,2,1,0,1
R01404,ñkäCìπ,ê_åbì‡ë∫,870,400,470,869,399,470,65,28,37,357,195,162,448,177,271,280,89,191,1,4,20,27,17,401,396,753,181,181,109,68,108,2,2,14779,972,63,0,1,0,3,1,0,0,1,21,0,1,0,12,5,0,8,2,8,248,0,8,0,11,7,0,0,3,64,0,2,0,40,6,0,84,7,16,0,0,35,97.5,5.5,2734843,79063,2609855,608566,125824,163667,0,0,0,1,11,24,1,11,19,0,0,0,0,0,0,391,230,161,15,11,4,399,131,268,54,46,289,0,0,819,502,19,5,0,0,1,1,2,1,0,1
